gene,IndModel.adj.pvals,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,celltype
COMMD6,8.36E-05,0.336354051,4.202633508,2.64E-05,TRUE,TRUE,Oligo
SH3GL2,8.84E-05,-1.004617196,-3.80959941,0.000139192,TRUE,TRUE,Oligo
PCBP1,8.86E-05,0.298591294,4.011944896,6.02E-05,TRUE,TRUE,Oligo
RPL5,0.000114454,0.283641731,4.343718329,1.40E-05,TRUE,TRUE,Oligo
GPS2,0.000124967,0.706718157,3.948056404,7.88E-05,TRUE,TRUE,Oligo
BEX5,0.00013616,-1.038569837,-4.006544748,6.16E-05,TRUE,TRUE,Oligo
GARNL3,0.000153214,-0.281925347,-5.610075541,2.02E-08,TRUE,TRUE,Oligo
GRIK4,0.000195652,-0.323231446,-4.52129898,6.15E-06,TRUE,TRUE,Oligo
GSTP1,0.000216026,0.273360047,4.726362621,2.29E-06,TRUE,TRUE,Oligo
GAP43,0.000251077,-0.745285199,-4.101568383,4.10E-05,TRUE,TRUE,Oligo
GALNT15,0.000289656,-0.43172006,-5.360778671,8.29E-08,TRUE,TRUE,Oligo
CES4A,0.000338987,-0.396486709,-4.193735405,2.74E-05,TRUE,TRUE,Oligo
LDLRAD4,0.000386696,-0.250123776,-4.685456457,2.79E-06,TRUE,TRUE,Oligo
MLLT11,0.000422733,-0.93655614,-3.827119354,0.000129652,TRUE,TRUE,Oligo
CCDC102B,0.00045273,-0.441596427,-4.614583448,3.94E-06,TRUE,TRUE,Oligo
PIK3C2B,0.000500567,-0.256520692,-4.435372755,9.19E-06,TRUE,TRUE,Oligo
SRGAP3,0.000511062,-0.302996838,-4.983705782,6.24E-07,TRUE,TRUE,Oligo
REST,0.000524305,0.361509728,3.837406977,0.00012434,TRUE,TRUE,Oligo
ATG14,0.000563043,-0.422980603,-5.536888276,3.08E-08,TRUE,TRUE,Oligo
GNG3,0.000648362,-0.887584402,-4.419765722,9.88E-06,TRUE,TRUE,Oligo
GPR137B,0.000760026,-0.685327993,-4.777853003,1.77E-06,TRUE,TRUE,Oligo
DAPK2,0.000791098,-0.254885885,-4.851354305,1.23E-06,TRUE,TRUE,Oligo
ASCC2,0.000850971,-0.505517279,-4.952354045,7.33E-07,TRUE,TRUE,Oligo
FBXO44,0.000886718,0.381614609,3.940182294,8.14E-05,TRUE,TRUE,Oligo
FAM200B,0.00093002,0.265146771,4.189687566,2.79E-05,TRUE,TRUE,Oligo
C16orf13,0.000945183,0.316696563,3.843255379,0.000121413,TRUE,TRUE,Oligo
NACA2,0.001366207,0.471361521,3.946613441,7.93E-05,TRUE,TRUE,Oligo
SNAI3,0.00148567,-0.529223481,-5.401470207,6.61E-08,TRUE,TRUE,Oligo
DPH7,0.002491814,-0.430473737,-4.374082486,1.22E-05,TRUE,TRUE,Oligo
AARS,0.002576964,0.313975616,3.884583647,0.000102505,TRUE,TRUE,Oligo
RAB11FIP4,0.002870132,-0.251118747,-4.825429534,1.40E-06,TRUE,TRUE,Oligo
INTU,0.003258135,-0.512336952,-4.975341563,6.51E-07,TRUE,TRUE,Oligo
CALY,0.003360318,-1.064194231,-4.015070025,5.94E-05,TRUE,TRUE,Oligo
SNAPC1,0.004215298,-0.71864914,-3.972664889,7.11E-05,TRUE,TRUE,Oligo
HEY2,0.004429216,0.420270634,3.877269978,0.000105635,TRUE,TRUE,Oligo
PTPDC1,0.004636685,-0.32123983,-4.28899842,1.79E-05,TRUE,TRUE,Oligo
RP11-403P17.5,0.005926083,-0.703808121,-3.955223097,7.65E-05,TRUE,TRUE,Oligo
DPF3,0.006264566,-0.350359389,-4.036153003,5.43E-05,TRUE,TRUE,Oligo
CCDC82,0.006848545,-0.327450067,-4.485625974,7.27E-06,TRUE,TRUE,Oligo
DYNC2LI1,0.007086772,-0.405579397,-4.161824247,3.16E-05,TRUE,TRUE,Oligo
TRAPPC13,0.007653867,-0.335744961,-4.226530547,2.37E-05,TRUE,TRUE,Oligo
TARBP1,0.008153627,-0.451954236,-4.575801488,4.74E-06,TRUE,TRUE,Oligo
KIAA0895L,0.008775678,-0.613267658,-3.815003338,0.000136181,TRUE,TRUE,Oligo
ELOVL6,0.009754349,-0.28974988,-4.332798525,1.47E-05,TRUE,TRUE,Oligo
RASGEF1B,1.64E-14,0.527947502,2.846807859,0.004416001,TRUE,TRUE,OPC
OLIG1,3.32E-13,0.595101796,6.854404778,7.16E-12,TRUE,TRUE,OPC
VCAN,3.19E-08,0.280376003,4.728923757,2.26E-06,TRUE,TRUE,OPC
KCNIP1,1.18E-07,-0.406192237,-5.692433253,1.25E-08,TRUE,TRUE,OPC
AHI1,4.53E-07,-0.44832646,-5.01113608,5.41E-07,TRUE,TRUE,OPC
SLC26A3,6.44E-06,0.457601422,2.91009613,0.003613176,TRUE,TRUE,OPC
SOX8,7.58E-05,0.799783587,4.533776802,5.79E-06,TRUE,TRUE,OPC
ATP13A4,0.000271382,-0.375129532,-4.407910714,1.04E-05,TRUE,TRUE,OPC
MARCKS,0.000754947,0.582440869,4.518275539,6.23E-06,TRUE,TRUE,OPC
MCF2L2,0.00175168,-0.426490009,-4.418786557,9.93E-06,TRUE,TRUE,OPC
GADD45B,0.00175168,-2.221532715,-2.791343772,0.005248969,TRUE,TRUE,OPC
CACNA1D,0.002360934,-0.403048301,-4.216446723,2.48E-05,TRUE,TRUE,OPC
SNAP25,0.003503293,-0.344804661,-3.17908729,0.001477396,TRUE,TRUE,OPC
LRRC75A,0.003776338,-1.248960935,-3.721815019,0.000197796,TRUE,TRUE,OPC
SLC6A11,0.004224829,-0.532660179,-2.79315456,0.005219675,TRUE,TRUE,OPC
PDGFRA,0.004224829,0.457818159,3.872598808,0.000107681,TRUE,TRUE,OPC
TNIK,0.004359835,-0.25397913,-3.164854258,0.001551606,TRUE,TRUE,OPC
ZNF565,0.005086448,-0.51304509,-3.410284509,0.000648951,TRUE,TRUE,OPC
CD163L1,0.005179602,0.768906325,3.484420046,0.000493205,TRUE,TRUE,OPC
MT1M,0.00529348,0.876298395,4.676989126,2.91E-06,TRUE,TRUE,OPC
KIFC2,0.005479263,1.604516595,4.261135341,2.03E-05,TRUE,TRUE,OPC
AFAP1,0.006866957,-0.385944688,-3.529873361,0.000415759,TRUE,TRUE,OPC
IFIT1,0.006866957,-1.129643054,-3.025672458,0.002480809,TRUE,TRUE,OPC
FMNL3,0.006866957,-0.389744903,-3.093914348,0.001975345,TRUE,TRUE,OPC
GALR1,0.006866957,-0.624129627,-3.082400856,0.002053381,TRUE,TRUE,OPC
SNX9,0.007213228,-0.489801316,-3.480403057,0.00050066,TRUE,TRUE,OPC
VDAC3,0.007958161,-0.515436914,-2.881322118,0.003960107,TRUE,TRUE,OPC
GPR158,0.009538245,-0.504417871,-3.081865907,0.002057075,TRUE,TRUE,OPC
SPP1,8.89E-11,1.102719289,3.099492955,0.001938522,TRUE,TRUE,Micro
CD81,1.10E-07,1.452582865,4.495829394,6.93E-06,TRUE,TRUE,Micro
APOE,1.15E-06,0.536419398,3.288005706,0.001008998,TRUE,TRUE,Micro
TMEM2,1.27E-06,-1.76525838,-4.977879564,6.43E-07,TRUE,TRUE,Micro
PTPRG,1.07E-05,2.219839596,4.244309263,2.19E-05,TRUE,TRUE,Micro
APOC1,1.73E-05,1.782078385,4.631774152,3.63E-06,TRUE,TRUE,Micro
RORA,1.91E-05,-1.587572975,-5.012073464,5.38E-07,TRUE,TRUE,Micro
SAT1,2.78E-05,-0.608541983,-3.114327978,0.001843644,TRUE,TRUE,Micro
C1QC,3.04E-05,1.018100386,3.743710319,0.000181323,TRUE,TRUE,Micro
RPS19,5.52E-05,0.67995704,3.9173104,8.95E-05,TRUE,TRUE,Micro
SYTL3,7.66E-05,-1.514356847,-4.991040322,6.01E-07,TRUE,TRUE,Micro
SNCA,0.000168453,0.98777755,4.927723943,8.32E-07,TRUE,TRUE,Micro
NAMPT,0.000168453,-1.814119062,-4.924107131,8.47E-07,TRUE,TRUE,Micro
CACNA1A,0.000188127,0.910621114,3.533947646,0.000409402,TRUE,TRUE,Micro
VSIG4,0.00019113,0.869079369,3.547514682,0.000388884,TRUE,TRUE,Micro
RPLP1,0.00019113,0.900408704,3.950950885,7.78E-05,TRUE,TRUE,Micro
EPSTI1,0.000191837,-1.30738604,-4.105895295,4.03E-05,TRUE,TRUE,Micro
ZC3HAV1,0.000250406,-0.928343047,-3.948296499,7.87E-05,TRUE,TRUE,Micro
RPL18A,0.000977474,2.006936945,3.932135854,8.42E-05,TRUE,TRUE,Micro
RNF149,0.001150219,-0.683784603,-3.338833198,0.000841311,TRUE,TRUE,Micro
SAMD9L,0.001233068,-1.109168468,-4.149682386,3.33E-05,TRUE,TRUE,Micro
NR4A2,0.001593349,-3.214595815,-3.204783462,0.001351641,TRUE,TRUE,Micro
IFNGR1,0.002607709,0.522394996,3.57107578,0.000355518,TRUE,TRUE,Micro
MYO1E,0.002633264,0.714265833,3.440786186,0.000580027,TRUE,TRUE,Micro
RPL7A,0.002728431,1.053838212,3.303164947,0.000956001,TRUE,TRUE,Micro
SLC1A5,0.003369845,1.488940728,3.359873824,0.000779781,TRUE,TRUE,Micro
RPS28,0.004299246,1.414669956,3.077966814,0.002084181,TRUE,TRUE,Micro
RABGAP1L,0.004326715,-0.516304268,-3.935878801,8.29E-05,TRUE,TRUE,Micro
TMBIM6,0.004330565,0.813286068,3.47322368,0.000514247,TRUE,TRUE,Micro
TNFRSF1B,0.004434886,-0.750164515,-3.770472146,0.000162939,TRUE,TRUE,Micro
DTNA,0.00549843,0.477263792,3.720673682,0.000198692,TRUE,TRUE,Micro
RPS2,0.005999869,0.967156988,3.40543768,0.000660581,TRUE,TRUE,Micro
FCGBP,0.007251139,0.762200777,3.203849387,0.001356034,TRUE,TRUE,Micro
GPX1,0.008253088,0.835105626,4.239458414,2.24E-05,TRUE,TRUE,Micro
RAD51B,0.00924892,-0.433303184,-4.250975167,2.13E-05,TRUE,TRUE,Micro
