run,celltype,logFC,logCPM,LR,PValue,adj_pval,name,p_val_adj
AD_pathology_rand1,Mic,1.9462620490028,7.1105128893345,17.956632641894,2.2599553831146e-05,0.0249741212372614,NEXN,0.0249741212372614
AD_pathology_rand1,Mic,1.74152765589886,7.20265442412285,18.926715814621,1.35837026903418e-05,0.0175127886935232,CACYBP,0.0175127886935232
AD_pathology_rand1,Mic,-1.09303855584293,9.24933887401921,19.4516985701049,1.03176043062692e-05,0.0145112414747537,TMEM163,0.0145112414747537
AD_pathology_rand1,Mic,2.63302179732556,6.69212316652576,18.3057409956328,1.88139336566577e-05,0.0223900282770886,SDPR,0.0223900282770886
AD_pathology_rand1,Mic,-1.13195557441487,9.03035919880222,22.0416078865946,2.66803629653637e-06,0.00589674136338775,SLC11A1,0.00589674136338775
AD_pathology_rand1,Mic,2.53148854665703,6.67683453243036,17.268837564801,3.2446467922222e-05,0.0326498191412533,TMEM40,0.0326498191412533
AD_pathology_rand1,Mic,-1.4058594226153,7.4716438777206,16.2826973394299,5.4559886264956e-05,0.0496527059061844,MSL2,0.0496527059061844
AD_pathology_rand1,Mic,3.41650959108419,6.84958008576446,32.2809063280996,1.33417947772885e-08,6.8803635666477e-05,PF4,6.8803635666477e-05
AD_pathology_rand1,Mic,3.73181006316987,6.93440204307796,39.9485656114942,2.6073897250146e-10,4.03389264357008e-06,PPBP,4.03389264357008e-06
AD_pathology_rand1,Mic,2.92581759928288,6.74379358392063,23.0257142124332,1.59848998838181e-06,0.0041217064350425,EGF,0.0041217064350425
AD_pathology_rand1,Mic,2.69280725207575,6.78355696505908,19.7248106754833,8.94327069750427e-06,0.0138361340961089,ELOVL7,0.0138361340961089
AD_pathology_rand1,Mic,2.70412108738248,6.87341456621939,21.6839962711074,3.21461982421808e-06,0.00621667291255974,PKHD1L1,0.00621667291255974
AD_pathology_rand1,Mic,2.90875845000539,6.99811080842901,29.2582246382319,6.334677283059e-08,0.000245009480615515,ACRBP,0.000245009480615515
AD_pathology_rand1,Mic,3.46600667283571,6.86199257102077,33.4088519293306,7.46832689776038e-09,5.77712427176254e-05,CLEC1B,5.77712427176254e-05
AD_pathology_rand1,Mic,2.22668963885432,7.049886213274,20.5923581111083,5.68224818885868e-06,0.00976778463664807,PDE3A,0.00976778463664807
AD_pathology_rand1,Mic,1.61555672586988,7.3002488595641,17.1930910877161,3.37662146118579e-05,0.0326498191412533,RGS6,0.0326498191412533
AD_pathology_rand1,Mic,3.07725138897015,6.77289163955721,25.4708830841887,4.49109898565169e-07,0.00138963584814035,TUBB1,0.00138963584814035
AD_pathology_rand2,Mic,1.95304136611376,7.16964091123197,20.322876559059,6.54137913100339e-06,0.0104682970044541,ISG15,0.0104682970044541
AD_pathology_rand2,Mic,-2.05716504437515,7.11049508452935,20.1000439643512,7.34949863267788e-06,0.0104682970044541,NEXN,0.0104682970044541
AD_pathology_rand2,Mic,-2.06395548890736,7.03431146863083,18.1580368839198,2.03309590302541e-05,0.0184567587447341,LTBP1,0.0184567587447341
AD_pathology_rand2,Mic,-2.61021005500443,6.69206374496404,18.0959544838492,2.10047234418905e-05,0.0184567587447341,SDPR,0.0184567587447341
AD_pathology_rand2,Mic,-2.28089186592352,6.85614735464897,16.7549478144628,4.25312116594174e-05,0.0313333512182308,IGF2BP2,0.0313333512182308
AD_pathology_rand2,Mic,-3.39519872028549,6.84948281858442,32.1616367887311,1.41864443820021e-08,4.38956962067909e-05,PF4,4.38956962067909e-05
AD_pathology_rand2,Mic,-3.71176713473158,6.93428734554018,39.9359461903338,2.62428959242237e-10,3.29642123909866e-06,PPBP,3.29642123909866e-06
AD_pathology_rand2,Mic,-0.865818283148868,9.87973594617931,17.3867091814807,3.04950940719233e-05,0.0235894800193363,RASGEF1B,0.0235894800193363
AD_pathology_rand2,Mic,-2.90403433371692,6.74373749148633,22.7976789139806,1.79982945704472e-06,0.00348064519124236,EGF,0.00348064519124236
AD_pathology_rand2,Mic,-2.53796634094659,6.68106772229291,18.6812783596315,1.5449195179699e-05,0.0159342999083416,COL21A1,0.0159342999083416
AD_pathology_rand2,Mic,-1.83215478020927,7.07649474586539,15.9459772366281,6.51761418160714e-05,0.0458336404562018,CD36,0.0458336404562018
AD_pathology_rand2,Mic,1.14636047462202,8.36430392011919,17.9052919699684,2.3217462358303e-05,0.018905124218174,PDK4,0.018905124218174
AD_pathology_rand2,Mic,-1.20059084279827,8.8168875975308,25.9467952416332,3.50957577436042e-07,0.000904944113418835,SLC26A3,0.000904944113418835
AD_pathology_rand2,Mic,-3.48769426857066,6.87331867657269,34.5711394397504,4.10954268742959e-09,2.11929116390744e-05,PKHD1L1,2.11929116390744e-05
AD_pathology_rand2,Mic,1.05518863055862,8.57579536257873,19.1306748461749,1.22067173356312e-05,0.0145269326076577,NAV2,0.0145269326076577
AD_pathology_rand2,Mic,-3.49387008863444,6.9980060837673,38.9892669810758,4.26141973899381e-10,3.29642123909866e-06,ACRBP,3.29642123909866e-06
AD_pathology_rand2,Mic,-3.44484111167961,6.86189261911254,33.3013588600433,7.89274686660825e-09,3.05271716933241e-05,CLEC1B,3.05271716933241e-05
AD_pathology_rand2,Mic,-2.03970568750843,7.04987072167948,18.0538999008853,2.14738321637395e-05,0.0184567587447341,PDE3A,0.0184567587447341
AD_pathology_rand2,Mic,2.12739058700801,6.96791629471131,18.7925896246099,1.45732258253776e-05,0.0159342999083416,ZNF84,0.0159342999083416
