celltype,gene,adj_p_val,lfc
Exc,NPIPA7,0.91703412,0.617587958
Exc,CNGA3,0.915716541,0.490549957
Exc,STOM,0.91559888,0.574627432
Exc,CXCR5,0.915445005,-0.007063306
Exc,CTD-2370N5.3,0.915299831,0.440878466
Exc,C8A,0.915294367,0.640469637
Exc,KCNJ10,0.915275567,1.222600179
Exc,RDH16,0.915275567,1.377065436
Exc,TCF15,0.915178158,0.850511467
Exc,VN1R2,0.915166261,0.290537431
Exc,E2F8,0.913940823,-0.466840485
Exc,POU3F4,0.91361481,-1.155508144
Exc,C15orf52,0.911675084,0.519734245
Exc,TMIGD1,0.911487877,0.695139953
Exc,NPC1L1,0.911258192,0.521863026
Exc,SLC52A3,0.911258192,0.739613582
Exc,LYZ,0.911249705,0.752650298
Exc,ESAM,0.910686512,0.325038745
Exc,FAM229A,0.91028317,0.93096696
Exc,GOLGA6L6,0.909859031,-1.139086471
Exc,WNT9A,0.908562671,0.67651159
Exc,RPL17-C18orf32,0.908562671,0.815073068
Exc,IL21,0.908437176,1.013115918
Exc,WNT16,0.90834571,-0.144767499
Exc,RP11-51L5.7,0.90834571,0.196233035
Exc,ZNF676,0.90834571,0.208980861
Exc,DLX6,0.908232988,-2.134134707
Exc,KRT1,0.908232988,-0.173979
Exc,CHRNA2,0.908227911,-0.108269611
Exc,DTX3L,0.907909972,1.547522068
Exc,PROKR2,0.905779388,0.766252936
Exc,SULT1E1,0.905667419,-0.229073669
Exc,SHCBP1,0.905667419,0.431881765
Exc,PDZD3,0.904174918,0.27433341
Exc,NAT2,0.904144851,-1.729760649
Exc,OVOL1,0.904144851,-1.137611705
Exc,MYH2,0.904063729,0.441046653
Exc,ZNF716,0.903984546,0.137420803
Exc,SLFN12,0.90373081,1.205632537
Exc,LIPG,0.903362613,-0.023900868
Exc,RP5-1052I5.2,0.902142247,0.443531692
Exc,KRT15,0.902142247,1.223600998
Exc,SUSD2,0.902142247,0.302289833
Exc,CYB5R2,0.90122723,-0.346830199
Exc,NOTO,0.900909981,0.578090943
Exc,SPAM1,0.900026177,0.534115613
Exc,MC4R,0.896186674,0.595152528
Exc,XXcos-LUCA11.5,0.896075961,-0.15703251
Exc,MAB21L1,0.896075961,0.195506219
Exc,PABPN1L,0.896075961,0.676490709
Exc,BOLA2,0.896024357,0.111801273
Exc,DST,0.895653408,0.182513893
Exc,OLFML2A,0.895365643,0.268642752
Exc,OTUD6A,0.895352519,-0.240647237
Exc,ERCC6L,0.894991304,0.37800732
Exc,SNAI1,0.894531267,0.494654904
Exc,SPTA1,0.894511027,-0.512962388
Exc,NOG,0.894388919,0.263872629
Exc,PCDH7,0.893329194,0.102799463
Exc,DEFB121,0.892844145,-0.123986964
Exc,GJA1,0.891964858,0.7083151
Exc,GPR17,0.891778707,-0.082844066
Exc,SBSN,0.891427593,-0.193068652
Exc,RTP4,0.891257469,1.675031201
Exc,FUT3,0.891244161,-0.117726879
Exc,CCL3,0.891208691,-0.288517468
Exc,H2BFM,0.890973758,-0.585778036
Exc,SHISA2,0.890738813,0.743865726
Exc,KIF26A,0.88909545,0.835954307
Exc,ANKRD20A2,0.888976913,0.502479967
Exc,RP11-49P4.7,0.888625633,1.111518974
Exc,MYD88,0.888625633,0.92117745
Exc,AC104532.2,0.888625633,0.539848225
Exc,ATP1A4,0.888242329,0.028831675
Exc,DGKB,0.887574842,0.14695933
Exc,PLET1,0.887535282,0.366512473
Exc,SLFN12L,0.887186123,0.665687419
Exc,COX6A2,0.886908972,0.836916058
Exc,PLEK,0.886328424,0.241106795
Exc,MMP15,0.885039013,0.547248685
Exc,CPA5,0.884909398,-0.597203783
Exc,AL021546.6,0.884909398,0.593566774
Exc,GDNF,0.88434553,0.792638975
Exc,OLIG1,0.882018381,0.78965
Exc,KLHL41,0.881271156,0.089754983
Exc,RP11-216L13.17,0.88124441,0.016535816
Exc,AGR2,0.881162543,0.673092691
Exc,MYCL,0.880703084,1.004999512
Exc,LL0XNC01-16G2.1,0.8804863,0.510862132
Exc,NPIPB8,0.8804863,1.203475628
Exc,ANGPT4,0.879058246,0.291867789
Exc,CELA2A,0.87823976,-0.026281303
Exc,PROP1,0.877326645,0.378407618
Exc,CDC42BPG,0.87703143,0.287423476
Exc,CHRNA10,0.876654247,0.621017847
Exc,GC,0.876082615,0.94695193
Exc,TRPA1,0.876052485,-0.096093666
Exc,C19orf68,0.875951384,0.294780288
Exc,ZSCAN5B,0.875885963,1.64433436
Exc,CFAP126,0.875773421,1.353415371
Exc,MLN,0.875773421,0.518140517
Exc,MMP14,0.875773421,3.377015389
Exc,KCNK18,0.875765597,0.578839709
Exc,TSGA10IP,0.875511431,0.064507443
Exc,KRTAP5-9,0.874488317,0.996706014
Exc,CCNA2,0.873413988,0.630153949
Exc,MUC5B,0.872226716,0.666632795
Exc,S100A7,0.872005091,0.990201436
Exc,MMP2,0.87148529,0.666214669
Exc,JPH4,0.870608242,0.340976025
Exc,GABRQ,0.870275876,0.665526265
Exc,C8orf48,0.870166274,0.358344241
Exc,TIGD2,0.869692732,0.538060601
Exc,LHFPL1,0.869119108,0.083403166
Exc,HEY2,0.866746303,-0.76374522
Exc,SPACA7,0.866746303,0.49467792
Exc,RP5-1042K10.14,0.866221132,0.893834424
Exc,CRACR2B,0.865067012,0.703625358
Exc,KLK12,0.865067012,0.106886271
Exc,TEX35,0.864200678,0.093810183
Exc,RP11-762I7.5,0.863435921,0.167210104
Exc,IQCF1,0.863293226,1.238398212
Exc,CALHM2,0.862579254,0.678028097
Exc,OCM2,0.862355612,0.046056236
Exc,PLEKHG4B,0.86043839,1.092986577
Exc,ETV7,0.860432217,0.666456463
Exc,EDC4,0.860432217,1.419683534
Exc,GRAP,0.860432217,0.373373881
Exc,PLIN4,0.860432217,0.624848727
Exc,OR5H15,0.858874452,0.177475866
Exc,GRIK3,0.858777162,0.479390078
Exc,HIST2H2AC,0.857795757,1.245616129
Exc,PIGR,0.857795757,0.670369328
Exc,OXER1,0.857795757,0.155298794
Exc,LINC00694,0.857795757,1.130871253
Exc,ZIC4,0.857795757,0.385380731
Exc,HTRA3,0.857795757,0.846532429
Exc,DEFB134,0.857795757,-0.498432204
Exc,FOLR1,0.857795757,0.930052843
Exc,LACRT,0.857795757,1.300850922
Exc,RP11-407N17.3,0.857795757,-0.138341536
Exc,RP11-47I22.4,0.857795757,0.569571687
Exc,GGTLC1,0.857795757,-0.200292467
Exc,MROH2B,0.857644021,0.356624931
Exc,TNFSF18,0.856567435,0.569079263
Exc,ZNF506,0.85587762,0.368664167
Exc,FAM46C,0.855274649,0.155286073
Exc,NXF3,0.854971881,0.128033974
Exc,VANGL1,0.854312061,0.454051403
Exc,KRTAP5-7,0.854312061,0.768211977
Exc,OTUD1,0.853661467,0.721675409
Exc,GBP2,0.853317239,-0.31090912
Exc,WNT4,0.852155472,0.410466628
Exc,DMRT3,0.851216375,0.554614947
Exc,CD274,0.850214079,0.062440985
Exc,TMEM27,0.849637174,0.4989375
Exc,SHC1,0.849377691,0.032705746
Exc,SEPP1,0.849334977,1.158676643
Exc,RP13-1032I1.10,0.848447037,0.940061111
Exc,SLC7A2,0.848420757,0.666911881
Exc,ZAP70,0.848251494,0.304166042
Exc,CIDEC,0.847073626,-0.871733506
Exc,ZNF384,0.847060329,0.447446786
Exc,ELANE,0.846316491,0.349626777
Exc,S100A11,0.846150439,0.140162223
Exc,CALB2,0.842948461,0.29190551
Exc,GUCY2D,0.842799524,0.109088489
Exc,SAMD7,0.841895734,0.147736361
Exc,XXbac-BPG32J3.19,0.841802365,0.189216512
Exc,COX8A,0.841001521,0.36078127
Exc,SCEL,0.838007046,-0.494439001
Exc,RP11-215A19.2,0.837997554,0.403697171
Exc,FAM83G,0.836696811,1.192905896
Exc,ITGA6,0.836593476,0.089367339
Exc,OR2A14,0.835967668,-0.1915232
Exc,HIST1H2AC,0.835886358,0.62401273
Exc,WFDC10A,0.835886358,-0.091636177
Exc,PSPN,0.835886358,0.739033819
Exc,CXCL6,0.835763886,-1.02766582
Exc,COX14,0.835763886,0.687125606
Exc,EDN2,0.835755931,0.620384422
Exc,CYP4A11,0.835755931,0.444497901
Exc,FCGR1B,0.835755931,1.649391485
Exc,OR13C5,0.835755931,1.488353536
Exc,ASAH2,0.835755931,0.272917958
Exc,CYP1A2,0.835755931,1.697512715
Exc,SENP3,0.835755931,0.306910193
Exc,POTEH,0.835755931,0.398599147
Exc,GPRC5C,0.834711071,0.450550688
Exc,MGP,0.833710828,0.556024477
Exc,TREH,0.832956826,0.894386878
Exc,CYGB,0.832785704,0.518546128
Exc,MCOLN3,0.832625335,0.340000671
Exc,SLC38A5,0.83185391,0.511788715
Exc,SLC13A1,0.82690868,1.188201041
Exc,EREG,0.826360182,0.636691313
Exc,BMF,0.826214551,0.824648096
Exc,PPP1R14D,0.826112284,0.30605644
Exc,C10orf105,0.825069889,-0.494506259
Exc,ABCB6,0.824310143,1.222224452
Exc,FPR3,0.824310143,0.910781275
Exc,VSIG2,0.823837527,2.07307346
Exc,THBS1,0.823837527,1.170471203
Exc,CXCL16,0.823583538,1.377309969
Exc,STARD8,0.822568426,0.733412679
Exc,CTRC,0.8216695,0.265982248
Exc,TES,0.821010897,0.375655248
Exc,CYBRD1,0.819819802,0.692674903
Exc,ENKD1,0.819371759,0.541523894
Exc,SIX4,0.817241629,0.825900844
Exc,CACNA2D4,0.817106875,0.121870267
