Cell,logFC,logCPM,LR,PValue,adj_pval,ensembl_id,HGNC
OPC,-4.1544663068178,4.92100802830352,21.6911445033773,3.20266323105416e-06,0.0498590611810512,ENSG00000166573,GALR1
Astro,-4.58452759856044,4.79651430156736,22.2367846859263,2.41011875398498e-06,0.0376340043434754,ENSG00000137959,IFI44L
Micro,-3.7616618856723,7.3287531553591,26.8149687793126,2.23896340071402e-07,0.000779047315278444,ENSG00000077238,IL4R
Micro,-2.06814459280792,7.88736441493684,17.592909500333,2.73606593553511e-05,0.0346186960825251,ENSG00000105835,NAMPT
Micro,-1.67575555092918,7.58472506153389,19.1736828980559,1.19347496835892e-05,0.0207634807620244,ENSG00000118257,NRP2
Micro,-3.15564026826938,6.85232653285354,19.2064627382026,1.17315548661349e-05,0.0207634807620244,ENSG00000135363,LMO2
Micro,-3.43392650994918,6.92904719836417,19.5975588668831,9.55912564287978e-06,0.0207634807620244,ENSG00000138135,CH25H
Micro,-2.81831093143875,6.77500676365822,16.9079590282557,3.92367196317638e-05,0.045508055319574,ENSG00000142408,CACNG8
Micro,2.90076647250014,8.34560616557148,45.5144265694892,1.51518699716567e-11,2.10883726265517e-07,ENSG00000144724,PTPRG
Micro,3.25867589136576,6.91671012729325,16.5519147209268,4.73361659559393e-05,0.0490154971446415,ENSG00000163106,HPGDS
Micro,-2.02909047229493,7.12321166158737,16.4746746363784,4.93042793522763e-05,0.0490154971446415,ENSG00000171612,SLC25A33
Micro,-3.46573010946636,6.93307220763544,19.7883301395746,8.65092507261467e-06,0.0207634807620244,ENSG00000172243,CLEC7A
Micro,-4.17280703988326,7.16813583362962,34.3515806940865,4.60026590298167e-09,3.20132504188494e-05,ENSG00000174600,CMKLR1
Micro,-3.19845881977275,6.87310555325921,18.5335889291045,1.66936338467312e-05,0.0232341995878805,ENSG00000227531,RP11-202G18.1
Micro,3.4056288702799,6.93817030349961,18.5526501580562,1.65275282933526e-05,0.0232341995878805,ENSG00000228058,RP11-552D4.1
Micro,4.46073300515255,7.6655916311951,29.7716678840008,4.86043400914541e-08,0.000225491735130953,ENSG00000253496,RP11-13N12.1
